The Crying Light,ANTONY AND THE JOHNSONS,1900,2000s,2009,art pop,Estados Unidos,Inglaterra,pop,pop de cámara,torch song,-,-,-,-,-,-,-
El Camino,THE BLACK KEYS,1900,2011,blues-rock,Estados Unidos,garage rock,rock,siglo XXI,-,-,-,-,-,-,-,-,-
Bad As Me,TOM WAITS,1900,2011,blues-rock,Estados Unidos,experimental rock,rock,siglo XXI,-,-,-,-,-,-,-,-,-
Patterns,AROAH & DOT TAPE DOT,1900,2012,Avilés,folk-pop,folktrónica,indietrónica,Madrid,siglo XXI,-,-,-,-,-,-,-,-
"Oh, Monsters!",ANNI B SWEET,1900,2012,folk,folk-pop,Málaga,siglo XXI,-,-,-,-,-,-,-,-,-,-
Lulu,LOU REED & METALLICA,1900,2011,art rock,Estados Unidos,heavy metal,rock,siglo XXI,spoken word,-,-,-,-,-,-,-,-
Music From Big Pink,THE BAND,1900,1960s,1968,americana,blues-rock,Canadá,country-rock,folk-rock,rock,roots rock,-,-,-,-,-,-
Visions,GRIMES,1900,Canadá,dance-pop,dream pop,electrónica,siglo XXI,synthpop,-,-,-,-,-,-,-,-,-
Un altre temps,FRED I SON,1900,2012,Barcelona,en catalán,indie pop,jangle pop,pop,siglo XXI,-,-,-,-,-,-,-,-
Le temps qu'il faut,BERTRAND BETSCH,1900,2011,Francia,nouvelle chanson,pop,siglo XXI,-,-,-,-,-,-,-,-,-,-
Yo,ROBERTO FONSECA,1900,2012,Cuba,jazz,jazz-funk,latin jazz,siglo XXI,world music,-,-,-,-,-,-,-,-
Echoes And Rhymes,THE PRIMITIVES,1900,2012,indie pop,indie rock,Inglaterra,pop,siglo XXI,-,-,-,-,-,-,-,-,-
The Marble Downs,TREMBLING BELLS & BONNIE PRINCE BILLY,1900,2012,Escocia,Estados Unidos,folk-rock,indie folk,rock psicodélico,siglo XXI,-,-,-,-,-,-,-,-
Borreroak baditu milaka aurpegi,NEGU GORRIAK,1900,1990s,1993,en euskera,hardcore punk,Irun,rap rock,reggae,rock,ska,-,-,-,-,-,-
Pop negro,EL GUINCHO,1900,2010,2010s,Barcelona,electrónica,funk,Las Palmas de Gran Canaria,pop,pop psicodélico,tropicalismo,worldbeat,-,-,-,-,-
Un dígito binario dudoso. Recital para...,HIDROGENESSE,1900,2010s,2012,art pop,Barcelona,electrónica,pop,synthpop,-,-,-,-,-,-,-,-
Let England Shake,PJ HARVEY,1900,2010s,2011,folk-rock,Inglaterra,rock,-,-,-,-,-,-,-,-,-,-
